ITEM_Level               ItemId: 0474006   UnitsShipped: 780.0     (poLineQty) UnitsReceived: 0         poNbr: 19806  SequenceNumber: 15                                                                                      
LPN_Level                ItemId: 0474006   UnitsShipped: 0.0       (poLineQty) UnitsReceived: 300.0     poNbr: 19806  SequenceNumber: 47                                                                                      
LPN_Level                ItemId: 0474006   UnitsShipped: 600.0     (poLineQty) UnitsReceived: 0         poNbr: 19806  SequenceNumber: 46                                                                                      
LPN_Level                ItemId: 0474006   UnitsShipped: 0.0       (poLineQty) UnitsReceived: 180.0     poNbr: 19806  SequenceNumber: 43                                                                                      
LPN_Level                ItemId: 0474006   UnitsShipped: 0.0       (poLineQty) UnitsReceived: 300.0     poNbr: 19806  SequenceNumber: 3                                                                                       
ITEM_Level               ItemId: 0474008   UnitsShipped: 720.0     (poLineQty) UnitsReceived: 0         poNbr: 19806  SequenceNumber: 8                                                                                       
ITEM_Level               ItemId: 0474008   UnitsShipped: 0.0       (poLineQty) UnitsReceived: 600.0     poNbr: 19806  SequenceNumber: 57                                                                                      
ITEM_Level               ItemId: 0474008   UnitsShipped: 600.0     (poLineQty) UnitsReceived: 0         poNbr: 19806  SequenceNumber: 36                                                                                      
ITEM_Level               ItemId: 0474008   UnitsShipped: 0.0       (poLineQty) UnitsReceived: 120.0     poNbr: 19806  SequenceNumber: 28                                                                                      
LPN_Level                ItemId: 0474008   UnitsShipped: 0.0       (poLineQty) UnitsReceived: 120.0     poNbr: 19806  SequenceNumber: 28                                                                                      
LPN_Level                ItemId: 0474008   UnitsShipped: 0.0       (poLineQty) UnitsReceived: 600.0     poNbr: 19806  SequenceNumber: 17                                                                                      
LPN_Level                ItemId: 0474008   UnitsShipped: 600.0     (poLineQty) UnitsReceived: 0         poNbr: 19806  SequenceNumber: 16                                                                                      
ITEM_Level               ItemId: 0512332   UnitsShipped: 0.0       (poLineQty) UnitsReceived: 224.0     poNbr: 19806  SequenceNumber: 65                                                                                      
ITEM_Level               ItemId: 0512332   UnitsShipped: 0.0       (poLineQty) UnitsReceived: 64.0      poNbr: 19806  SequenceNumber: 44                                                                                      
ITEM_Level               ItemId: 0512332   UnitsShipped: 256.0     (poLineQty) UnitsReceived: 0         poNbr: 19806  SequenceNumber: 27                                                                                      
ITEM_Level               ItemId: 0512332   UnitsShipped: 288.0     (poLineQty) UnitsReceived: 0         poNbr: 19806  SequenceNumber: 10                                                                                      
LPN_Level                ItemId: 0512332   UnitsShipped: 0.0       (poLineQty) UnitsReceived: 224.0     poNbr: 19806  SequenceNumber: 24                                                                                      
LPN_Level                ItemId: 0512332   UnitsShipped: 256.0     (poLineQty) UnitsReceived: 0         poNbr: 19806  SequenceNumber: 23                                                                                      
LPN_Level                ItemId: 0512332   UnitsShipped: 0.0       (poLineQty) UnitsReceived: 64.0      poNbr: 19806  SequenceNumber: 10                                                                                      
ASN_Level                                  UnitsShipped: 12084.0000(poLineQty) UnitsReceived: 12096.0000poNbr: 19806  SequenceNumber: 3                                                                                       
